"Adolescent birth rate (births per 1,000 women ages 15-19)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimension: Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SDG 3.7 By 2030, ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definition: Number of births to women ages 15–19 per 1,000 women ages 15–19.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: UNDESA (2019a). World Population Prospects: The 2019 Revision. Rev 1. New York. https://population.un.org/wpp/. Accessed 30 April 2020.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDI Rank,Country,1990,,1995,,2000,,2005,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
169, Afghanistan,161.2,,163.9,,165.2,,146.4,,133.1,,126.6,a,120.2,a,113.7,a,107.3,a,100.8,,92.8,a,84.9,a,76.9,a,69,b
69, Albania,16.3,,18.7,,19.3,,18.8,,18.5,,18.9,a,19.4,a,19.8,a,20.3,a,20.7,,20.5,a,20.2,a,19.9,a,19.6,b
91, Algeria,33.1,,24.3,,14.9,,9.7,,9.7,,10.1,a,10.4,a,10.8,a,11.2,a,11.6,,11.2,a,10.8,a,10.4,a,10.1,b
148, Angola,222,,213,,202.5,,192.8,,181.2,,178.5,a,175.7,a,172.9,a,170.2,a,167.4,,163.2,a,159,a,154.7,a,150.5,b
78, Antigua and Barbuda,83.3,,71.8,,65.4,,59.7,,51.2,,50.3,a,49.5,a,48.7,a,47.8,a,47,,45.9,a,44.9,a,43.8,a,42.8,b
46, Argentina,73.4,,73.6,,69.8,,64.1,,62.9,,63.1,a,63.2,a,63.3,a,63.4,a,63.6,,63.4,a,63.2,a,63,a,62.8,b
81, Armenia,65.6,,80.1,,49.9,,32.4,,27.8,,27.2,a,26.6,a,26,a,25.4,a,24.8,,24,a,23.2,a,22.3,a,21.5,b
8, Australia,21.1,,20.9,,19.5,,16.9,,17.1,,16.1,a,15.2,a,14.2,a,13.3,a,12.3,,12.2,a,12,a,11.9,a,11.7,b
18, Austria,21.4,,20.4,,14.8,,13.3,,11.1,,10.6,a,10.1,a,9.5,a,9,a,8.5,,8.2,a,7.9,a,7.6,a,7.3,b
88, Azerbaijan,25.7,,37.5,,42.3,,32.6,,38.5,,40.6,a,42.8,a,44.9,a,47.1,a,49.2,,50.9,a,52.5,a,54.2,a,55.8,b
58, Bahamas,69.8,,69.6,,61.9,,44.1,,39.5,,38.1,a,36.8,a,35.5,a,34.1,a,32.8,,32.1,a,31.4,a,30.7,a,30,b
42, Bahrain,32.5,,22.3,,18.8,,16.8,,14.8,,14.6,a,14.5,a,14.3,a,14.2,a,14,,13.8,a,13.7,a,13.5,a,13.4,b
133, Bangladesh,169.7,,143.5,,121.6,,106,,94.1,,93,a,91.9,a,90.8,a,89.7,a,88.6,,87.2,a,85.8,a,84.4,a,83,b
58, Barbados,49.9,,57.9,,52,,50.5,,47.3,,46.4,a,45.5,a,44.6,a,43.6,a,42.7,,40.4,a,38.1,a,35.8,a,33.5,b
53, Belarus,37.8,,44.2,,33,,24.3,,22.3,,22.1,a,21.9,a,21.8,a,21.6,a,21.4,,19.7,a,17.9,a,16.2,a,14.5,b
14, Belgium,11.4,,10.8,,10.2,,10.9,,10,,9.2,a,8.4,a,7.6,a,6.8,a,6,,5.7,a,5.3,a,5,a,4.7,b
110, Belize,131.6,,121.7,,106.3,,91.2,,78.7,,77.5,a,76.3,a,75.1,a,73.9,a,72.7,,71.6,a,70.6,a,69.5,a,68.5,b
158, Benin,123.1,,126.8,,122.8,,115.7,,108.7,,106.2,a,103.8,a,101.3,a,98.8,a,96.4,,93.8,a,91.2,a,88.7,a,86.1,b
129, Bhutan,107.5,,101,,89.2,,69.2,,47.9,,43.9,a,39.9,a,36,a,32,a,28,,26,a,24.1,a,22.1,a,20.2,b
107, Bolivia (Plurinational State of),96.4,,92.1,,87.8,,85.7,,81.9,,80.1,a,78.3,a,76.5,a,74.7,a,72.9,,70.9,a,68.9,a,66.9,a,64.9,b
73, Bosnia and Herzegovina,36.9,,25.6,,25.2,,18.9,,16.2,,15.4,a,14.5,a,13.7,a,12.9,a,12.1,,11.5,a,10.8,a,10.2,a,9.6,b
100, Botswana,122.1,,95.1,,70.3,,51.7,,48.7,,48.6,a,48.5,a,48.4,a,48.3,a,48.1,,47.6,a,47.1,a,46.6,a,46.1,b
84, Brazil,81.8,,83.7,,84.3,,80.8,,71.2,,69.7,a,68.3,a,66.9,a,65.5,a,64.1,,62.8,a,61.6,a,60.3,a,59.1,b
47, Brunei Darussalam,41.4,,38.3,,28.9,,26.5,,18.1,,17.3,a,16.6,a,15.9,a,15.2,a,14.4,,13.4,a,12.4,a,11.3,a,10.3,b
56, Bulgaria,75.8,,66.7,,48.2,,42.5,,46.2,,45.7,a,45.2,a,44.7,a,44.2,a,43.8,,42.8,a,41.8,a,40.8,a,39.9,b
182, Burkina Faso,150.2,,144.8,,142.6,,137.1,,129.7,,126.8,a,124,a,121.1,a,118.3,a,115.4,,112.6,a,109.9,a,107.1,a,104.3,b
185, Burundi,82.1,,84.8,,79,,74.5,,65.2,,64.3,a,63.4,a,62.5,a,61.6,a,60.7,,59.4,a,58.1,a,56.9,a,55.6,b
