"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000878296605410675","0.000734403892355818","0.000575271854100482","0.000491427131417883","0.00155209457207621","0.00163373332125288","0.00137948180295147","0.000925462744450815","0.000937353210360948","0.00116676045620415","0.000819358991065385","0.00100243912517378","0.000848486758287866","0.000717946084644347","0.000703181870217004","0.000712137437362349","0.000657229262514586","0.000699970185109785","0.000685497461216565","0.000653399781738063","0.000940949465840094","0.000918692037728531","0.000949223427263557","0.000967668246167683","0.00236128359145529","0.0019480556684067","0.00197258928180296","0.00236281683997004","0.00340212784907243","0.00261297594745693","0.0035529819409617","0.00350932217186962","",
"Afghanistan","AFG","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","0.302881584930502","0.373956335446073","0.435196492035287","0.86766364170208","1.13266261593726","1.63218098560254","1.88468726453276","1.79456094993387","1.61941556055131","2.22601865586492","2.548498970726","2.0621678196423","","","","","","","","","","","","","","","","","","","","","1.11398250245278","0.719357369114903","0.445267039525233","0.38440433910658","0.501950021988975","0.445615618517312","0.603855649894889","0.406485267887841","0.588007289736588","0.84194929010535","0.680631424615333","0.526111227750003","0.495682473919048","0.479032522371901","0.625859794776059","0.693530677225669","",
"Angola","AGO","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","20.5744104079496","9.92794506092768","5.3664760216093","10.9782794860975","16.7286906103234","15.1805983806925","7.4835028199072","17.4901505667096","15.7657318450923","22.9060419060157","28.9066226046574","17.287566387906","27.9891240776537","33.8345261832339","39.2897611694619","41.2409827462631","43.4408237578157","37.6993028844334","18.2604346990845","39.9109468634938","56.1338742128581","38.3858040588786","27.3639218438884","24.5459987573848","36.0759046726557","45.0365302595742","43.7951425251114","47.4840126382015","56.6085597074164","31.7455342780562","39.0039467591209","39.8870967766776","35.6782675918994","30.4708163442821","23.3819297926206","10.8036283089837","10.7462101426498","16.3501200133472","",
"Albania","ALB","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","16.1255797163232","16.5140746772145","7.66557996104237","10.6797138122991","11.0341138263895","13.5105542007641","11.0500297476632","9.34482446767432","11.4179016288712","2.80409448363136","1.73814340575151","1.28764727014118","1.33461441741758","1.37003296958168","0.304234074234699","0.568541328035922","1.0947387915416","0.732501135388181","0.755764016088467","0.762078498073808","0.776381057175609","1.05008470481175","1.43100707310744","2.17162946648799","1.62919924155033","0.980091469653627","2.03375254261451","3.45504414264328","3.59611965905506","3.57836518555408","3.57489661891961","1.81321047063324","1.04950275059878","1.69885922170872","",
"Andorra","AND","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Arab World","ARB","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","13.3176894182004","15.0525016214489","16.8410696648765","21.8752773117356","49.077134159352","39.7145509275261","39.8047080263911","38.2296868443437","34.4987675541825","58.8554762617306","52.2615222840015","39.2089997909626","25.6020422747136","25.415457653592","24.8297601920846","21.9912185567589","14.0294898845686","17.9258407691792","17.1712200277439","24.2429723984033","24.3966505073622","20.50739568331","21.1521012592416","20.5562413202579","18.676486711313","19.4270002170192","22.6395294821636","19.5790654110062","13.112841259311","16.8678202037101","26.3575818716551","21.6649626310877","20.8825969818457","23.9975646184415","29.3968812453378","36.1133596045083","36.750510844237","33.8865621538074","38.2840571273295","24.6669685416109","28.3774845175131","36.2342337902758","35.4655640677849","32.5053594392322","28.9250245615901","17.0307194514237","14.0053465736668","17.6555696276769","",
"United Arab Emirates","ARE","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","41.7069388025986","40.796204588022","35.1436540996129","34.3728984289561","60.4586094608587","46.9048292224918","31.5458654877126","22.4871441379607","23.2719180028493","23.3809015830655","24.2847360244057","16.5239988831746","24.1931633484881","20.462152147748","29.6420051106836","36.700071048353","24.8710959627717","23.4547377854055","20.7284064342668","17.9629902875223","17.9821839916478","20.5426122682532","17.7924447798387","11.8409101017064","14.6737341319287","21.9692019214577","17.246517141035","15.4596931848356","17.9105268880648","20.8388451372023","25.858253882845","26.2248161726583","24.0091809215237","28.4781977096101","19.2408286108364","22.6442742537834","30.0778743036719","29.8661597139821","27.1400438065608","24.2495066621431","14.0507779842984","11.3466954259009","13.6887359220849","",
"Argentina","ARG","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","0.396897486971724","0.52694068721259","0.588232574640384","0.630438852079981","1.88991011076604","2.43426773302489","2.7057955105891","2.24978569514697","2.50629764933815","5.44013919746438","6.38124604211974","5.31220434617456","3.18321140756597","3.41263975158304","4.176392266286","3.46715858186734","1.32608106772904","1.89876278513839","1.56350368744248","3.66917280083415","2.60353796147214","1.18674724459978","1.16781791216969","1.17064857484483","1.05060016141581","1.27206682901626","1.63366630915724","1.46886241580114","0.87057264033593","1.43020553566804","2.41686675006453","1.96846711044407","5.71955437786405","4.99743125483261","4.89248302370208","5.72956420119386","6.08398960246347","5.01251539592693","5.1096524916112","3.28315404928307","3.48413077975889","3.91425976743871","3.7643736113975","3.35403048306415","3.03487044523242","1.33670999919501","1.13493944398007","1.32281274795408","",
"Armenia","ARM","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.105584846910596","0.102698622725277","0.468567477618287","0.731881751852933","0.511241769108735","0.551497143600624","0.160976758266849","0.14144238551141","0.363203883805028","0.296755140384303","0.460041921854692","0.520673274237077","0.974003625913738","0.901240751587878","1.78886171126699","1.29706129945637","1.29454567256938","1.65663555927419","2.99212855719848","4.10302138504099","4.07873749241531","3.40557007117638","3.39391772572501","4.01320192164308","4.41207919314764","5.81562091263857","",
"American Samoa","ASM","Total natural resources rents (% of GDP)","NY.GDP.TOTL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
