code,iso,country,EPI.current,HLT.current,AIR.current,H2O.current,HMT.current,ECO.current,BDH.current,FRT.current,FSH.current,CCE.current,APE.current,WRS.current,AGR.current,HAD.current,PME.current,PMW.current,USD.current,UWD.current,PBD.current,MPA.current,TBN.current,TBG.current,SPI.current,PAR.current,SHI.current,TCL.current,FSS.current,MTR.current,DCT.current,DPT.current,DMT.current,DNT.current,DBT.current,DST.current,DXT.current,WWT.current,SNM.current
332,HTI,Haiti,33.74,45.24,62.21,15.45,3.46,26.08,14.39,8.29,62.75,42.53,20.76,0,10.83,5.52,100,100,15.04,15.87,3.46,0,1.58,2.86,23.13,45.42,43.32,8.29,86.81,38.7,60.02,6.34,41.26,38.46,21.62,28.8,12.71,0,10.83
340,HND,Honduras,51.51,55.95,68.9,34.06,19.01,48.54,84.11,3.59,54.38,46.02,17.68,56.32,10.21,22.25,100,100,33.85,34.26,19.01,94.12,88.66,94.35,93.18,77.28,23.17,3.59,76.1,32.66,47.93,45.02,44.2,47.37,36.73,23.43,11.93,56.32,10.21
348,HUN,Hungary,65.01,57.67,52.3,66.26,75.88,69.9,91.7,11.64,,61.68,75.22,93.42,69.15,42.86,52.56,64.63,67.84,64.68,75.88,,100,100,100,45.26,88.33,11.64,,,65.45,49.66,66.35,64.01,50.92,95.18,55.26,93.42,69.15
352,ISL,Iceland,78.57,98.41,98.55,100,86.99,65.34,75.77,,39.3,61.96,49.11,94.47,59.78,96.39,100,100,100,100,86.99,75.62,68.5,68.5,81.01,70.41,100,,36.11,42.48,51.59,100,50.52,50.75,70.51,7.39,90.83,94.47,59.78
356,IND,India,30.57,9.32,5.75,15.8,16.77,44.74,49.13,23.54,59.37,44.77,37.49,58.83,21.98,12.69,0,2.26,16.06,15.53,16.77,79.19,30.03,36.04,51.34,12.36,85.75,23.54,86.3,32.45,38.82,17.66,80.1,67.49,48.7,32.6,42.37,58.83,21.98
360,IDN,Indonesia,46.92,45.44,52.04,31.41,43.84,47.9,70.4,0.01,62.54,53.43,47.62,13.6,37.98,25.2,67.03,72.85,32.94,29.88,43.84,90.87,69.82,75.84,77.57,29.69,46.05,0.01,76.11,48.96,58.29,28.25,64.9,62.46,50.63,44.02,51.21,13.6,37.98
364,IRN,Iran,58.16,74.01,85.12,58.74,21.21,47.59,51.89,91.8,45.73,35.93,20.07,64.32,32.91,84.14,86.08,85.46,62.45,55.03,21.21,81.95,41.05,36.91,45.59,12.15,95.76,91.8,77.63,13.82,27.64,30.89,52.78,78.8,28.7,31.66,8.49,64.32,32.91
368,IRQ,Iraq,43.2,61.46,72.91,41.05,35.11,31.02,28.39,,,19.73,36.33,70.21,22.96,54.89,84.04,85.8,41.69,40.41,35.11,,8.62,49.47,4.73,3.48,98.03,,,,7.18,0,57.46,65.1,27.83,44.77,27.89,70.21,22.96
372,IRL,Ireland,78.77,95.92,95.78,100,73.18,67.34,88.63,8.78,71.14,54.16,87.23,91.19,61.94,89.46,100,100,100,100,73.18,89.32,86.62,86.62,99.95,64.46,96.82,8.78,76.24,66.05,61.69,51.74,32.42,39.66,89.91,86.01,88.45,91.19,61.94
376,ISR,Israel,75.01,94.14,95.67,92.03,86.92,62.25,59.33,29.26,85.34,57.09,75.82,99.49,26.03,92.19,100,95.96,89.53,94.54,86.92,58.29,77.62,52.9,60.8,17.64,76.51,29.26,70.67,100,48.52,42.6,74,90.41,99.71,87.06,64.59,99.49,26.03
380,ITA,Italy,76.96,85.88,80.56,100,70.23,71.02,94.1,30.96,37.99,65.14,88.55,97.53,49.03,92.69,69.67,75.28,100,100,70.23,95.77,100,100,99.98,60.57,88.94,30.96,17.27,58.71,55.89,58.02,94.86,69.34,63.03,86.99,90.12,97.53,49.03
388,JAM,Jamaica,58.58,68.48,78.74,51.04,39.72,51.98,83.12,24.03,29.07,52.26,21.03,76.99,8.32,46.85,100,100,49.67,52.4,39.72,80.28,84.71,95.27,99.94,57.89,52.87,24.03,18.48,39.66,62,25.08,65.73,45.78,16.16,14.69,27.38,76.99,8.32
392,JPN,Japan,74.69,92.99,90.78,96.6,100,62.48,90.34,37.89,36.79,45.08,72.34,94.06,45.41,100,82.76,86.49,100,93.21,100,97.6,100,100,99.19,41.63,68.18,37.89,20.15,53.42,24.43,16.8,98.94,98.86,95.4,62.89,81.78,94.06,45.41
400,JOR,Jordan,62.2,86.69,99.61,68.82,25.98,45.87,23.85,,,46.84,78.6,81.74,13.03,100,100,98.72,75.63,62,25.98,,6.92,8.96,25.65,15.74,91.97,,,,42.14,27.74,61.12,65.35,94.62,73.25,83.94,81.74,13.03
398,KAZ,Kazakhstan,54.56,66.7,68.41,62.89,67.5,46.46,30.73,59.52,,47.82,47.07,79.83,22.85,33.25,93.58,90.11,59.12,66.66,67.5,,19.2,23.75,28.33,6.13,97.12,59.52,,,40.7,45.52,69.46,89.36,0.01,42.95,51.2,79.83,22.85
404,KEN,Kenya,47.25,42.96,62.93,0.63,37.36,50.12,79.01,15.51,49.81,51.37,29.04,41.57,27.25,13.77,100,91.39,0.41,0.84,37.36,81.42,81.38,80.71,89.56,38.78,85.15,15.51,64.38,35.24,54.48,62.16,43.05,35.48,26.3,30.38,27.69,41.57,27.25
296,KIR,Kiribati,55.26,48.48,61.85,20.89,40.21,59.78,85.71,,73.64,43.71,54.35,58.45,12.38,4.61,100,100,21.24,20.54,40.21,100,100,100,,0,,,97.36,49.93,44.2,,42.51,39.76,45.56,53.11,55.58,58.45,12.38
414,KWT,Kuwait,62.28,70.55,75.17,65.79,39,56.77,86.33,,64.88,31.78,22.66,96.88,30.75,94.66,57.27,67.1,68.79,62.79,39,83.97,100,100,95.33,13.16,91.51,,70.67,59.09,7.32,40.82,53.69,99.85,84.48,22.82,22.51,96.88,30.75
417,KGZ,Kyrgyzstan,54.86,54.78,59.49,44.74,53.74,54.92,74.02,99.81,,32.5,21.41,65.61,49.82,22.34,83.08,85.44,41.2,48.28,53.74,,72.72,79.89,81.77,30.09,93.33,99.81,,,17.71,59.24,43.38,39.53,22.88,29.5,13.32,65.61,49.82
418,LAO,Laos,42.94,25.15,23.37,27.59,33.69,54.8,76.77,0,,77.39,52.56,0,33.06,4.41,33.75,38.28,26.05,29.12,33.69,,93.54,96.61,92.57,43.59,5.13,0,,,84.57,,64,60,47.74,53.05,52.08,0,33.06
428,LVA,Latvia,66.12,72.8,77.66,60.62,82.78,61.66,92.05,3.67,50.65,42.89,84.31,96.3,45.68,45.95,100,97.58,59.27,61.96,82.78,100,100,100,99,46.9,75.6,3.67,40,61.3,40.48,58.57,36.7,22.75,49.26,91.55,77.07,96.3,45.68
422,LBN,Lebanon,61.08,83.25,95.18,60.31,65.9,46.3,30.11,25.15,85.34,43.86,55.29,76.47,27.83,100,91.36,92.56,66.01,54.62,65.9,24.56,16.99,16.99,40.04,19.53,84.39,25.15,70.67,100,30.15,24.36,86.18,63.44,70.05,51.97,58.62,76.47,27.83
426,LSO,Lesotho,33.78,29.78,42.18,2.86,30.06,36.45,17.43,,,44.79,58.26,37.28,36.27,6.82,60.78,70.72,2.71,3.01,30.06,,1.41,1.41,12.17,15.25,94.24,,,,40.12,,62.06,53.88,32.07,59.86,56.65,37.28,36.27
430,LBR,Liberia,41.62,43.73,62.49,4.79,33.59,40.21,34.35,0,70.9,73.11,15.49,0,21.03,7.23,100,98.64,5.16,4.43,33.59,66.63,12.95,36.59,22.46,25.04,41.2,0,80.6,61.19,82.34,,64.39,51.19,0.74,30.53,0.46,0,21.03
434,LBY,Libya,49.79,81.8,96.67,54.93,49.67,28.45,20.72,,47.5,11.87,34.38,74.57,24.39,91.71,100,99.96,54.39,55.48,49.67,39.72,1.24,6.02,5.35,4.8,97.73,,26.15,68.85,0,54.58,0,4.31,14.7,38.24,30.52,74.57,24.39
440,LTU,Lithuania,69.33,72.57,77.97,58.51,86.63,67.18,93.83,7.75,57.83,62.46,59.73,93.49,62.01,66.17,84.72,86.97,57.32,59.69,86.63,100,99.58,99.58,99.94,49.56,90.6,7.75,54.73,60.94,60.5,64.52,64.34,76.27,52.46,67.58,51.89,93.49,62.01
442,LUX,Luxembourg,79.12,95.07,93.62,99.3,88.55,68.48,96.54,18.77,,58.53,61.82,99.76,38.06,96.17,94.17,89.68,100,98.59,88.55,,100,100,100,95.52,76.81,18.77,,,49.31,44.08,98.87,68.01,37.61,99.29,24.35,99.76,38.06
807,MKD,Macedonia,61.06,67.43,66.43,69.16,70.11,56.82,64.85,30.62,,63.85,56.99,52.07,35.99,30.74,90.78,89.67,69.78,68.53,70.11,,45.96,68.59,79.84,53.94,76.06,30.62,,,78.51,31.87,63.97,70.71,37.91,52.45,61.53,52.07,35.99
450,MDG,Madagascar,33.73,42.39,61.04,4.04,30.08,27.96,43.17,0,62,16.23,41.21,0,39.5,2.59,100,100,3.6,4.47,30.08,77.43,34.24,27.36,64.07,25.51,0,0,84.41,39.58,14.4,,22.11,18.68,15.91,45.59,36.83,0,39.5
454,MWI,Malawi,49.21,39.93,54.79,8.28,36.52,55.39,91.89,5.52,,64.88,51.51,0,34.26,7.18,85.5,87.58,7.89,8.67,36.52,,98.11,99.2,93.66,60.44,92.73,5.52,,,76.76,,46.77,18.82,17.11,54.33,48.69,0,34.26
458,MYS,Malaysia,59.22,66.63,69.32,63,53.42,54.28,76.68,0,64.19,47.68,45.61,82.3,31.86,76.26,61.14,68.22,70.62,55.37,53.42,79.66,100,100,93.14,21.26,0,0,74.13,54.24,40.89,30.6,66.12,88.8,68.99,32.81,58.41,82.3,31.86
462,MDV,Maldives,52.14,73.23,81.73,57.62,56.39,38.09,23.61,,66.65,44.71,30.05,39.76,26.33,54.33,100,100,59.88,55.36,56.39,61.36,6.84,6.84,,15.17,,,86.26,47.04,24.33,,99.69,99.23,55.53,37.37,22.73,39.76,26.33
466,MLI,Mali,43.71,43.72,63.41,2.69,33.94,43.7,61.6,4.17,,55.47,53.03,0,31.34,8.52,100,100,2.68,2.71,33.94,,43.49,70.53,75.59,16.62,96.97,4.17,,,69,,24.64,9.86,34.96,55.59,50.46,0,31.34
470,MLT,Malta,80.9,93.8,94.4,100,48.74,72.3,87.77,,56.49,67.04,57.32,100,32.62,85.99,100,100,100,100,48.74,96.94,100,100,,20.54,,,86.29,26.69,59.76,54.27,93,89.91,64.3,69.28,45.37,100,32.62
478,MRT,Mauritania,39.24,50.01,66.23,14.67,51.25,32.05,31.65,,42.82,39.84,32.58,0,28.82,15.57,100,100,13.97,15.37,51.25,92.72,3.7,3.06,8.41,6.37,94.39,,82.7,2.93,40.26,,38.2,40.78,39.6,42.67,22.49,0,28.82
480,MUS,Mauritius,56.63,77.45,85.88,61.05,66.37,42.75,38.28,27.23,57.3,48.06,27.74,73.12,4.51,64.7,100,100,69.35,52.74,66.37,29.66,32.82,32.82,54.09,15.74,68.33,27.23,68.22,46.37,47.8,27.31,67.12,68.49,37.13,27.76,27.72,73.12,4.51
484,MEX,Mexico,59.69,66.04,71.9,57.58,40.46,55.46,74.68,19.6,46.66,46.84,52.73,91.48,33.73,49.11,87.69,86.51,57.68,57.49,40.46,100,81.34,83.74,59.14,31.06,67.27,19.6,62.16,31.15,47.68,40.21,53.91,44.23,39.33,77.85,27.61,91.48,33.73
583,FSM,Micronesia,49.8,59.88,67.08,46.39,47.4,43.07,27.6,100,50,35.17,54.96,39.76,23.03,17.69,100,100,48.14,44.63,47.4,51.75,25.9,16.98,,3.93,,100,0,100,22.29,,65.76,74.08,54.2,57.72,52.2,39.76,23.03
498,MDA,Moldova,51.97,60.29,59.92,61.02,60.77,46.42,31.05,31.08,,47.9,59.02,83.06,46.51,45.65,68.56,70.31,58.2,63.83,60.77,,20.71,23.05,29.75,21.12,80.3,31.08,,,45,43.03,59.18,47.12,52.02,60.68,57.36,83.06,46.51
496,MNG,Mongolia,57.51,61.97,64.3,60.54,40.31,54.54,75.28,28.94,,53.98,41.66,63,14.35,13.19,100,96.75,57.38,63.69,40.31,,77.48,73.27,86.27,34.37,93.79,28.94,,,54.29,24.91,79.86,78.69,38.96,46.88,36.43,63,14.35
499,MNE,Montenegro,61.33,72.61,69.28,78.61,79.89,53.81,73.77,30.77,36.18,46.85,59.22,81.67,10.57,27.75,99.37,94.56,83.3,73.92,79.89,45.79,71.98,86.3,93.75,66.59,75.45,30.77,54.73,17.63,45.95,25.1,61.65,96.38,34.11,66.02,52.43,81.67,10.57
504,MAR,Morocco,63.47,67.43,81.39,42.24,37.03,60.82,88.43,29.57,57.39,49.66,50.69,85.38,30.25,57.8,100,94.25,45.41,39.06,37.03,70.41,99.91,99.68,98.14,67.58,80.45,29.57,93.06,21.72,44.84,32.99,70.62,62.51,67.96,43.78,57.61,85.38,30.25
508,MOZ,Mozambique,46.37,46.36,61.43,16.18,31.6,46.37,90.47,10.62,50.73,23.49,48.45,45.65,23.27,8.07,100,93.99,15.97,16.4,31.6,89.06,97.83,98.53,85.35,72.23,90.91,10.62,77.96,23.51,34.77,0.01,29.06,4.95,0.95,60.36,36.53,45.65,23.27
104,MMR,Myanmar,45.32,35.6,36.57,31.76,46.02,51.8,42.74,9.69,70.26,76.26,76.15,0,52.64,12.85,44.44,60.33,31.44,32.07,46.02,61.19,36.2,27.1,43.34,24.29,67.42,9.69,78.26,62.27,87.09,69,63.36,63.5,61.43,77.42,74.88,0,52.64
516,NAM,Namibia,58.46,46.34,60.6,15.5,46.1,66.54,95.75,,58.11,59.78,46.92,69.91,10.32,16.94,91.28,88.13,15.32,15.68,46.1,86.93,100,100,98.71,100,86.21,,86.48,29.75,45.21,99.83,60.9,51.36,49.36,33.38,60.47,69.91,10.32
524,NPL,Nepal,31.44,10.54,3.94,23.54,18.43,45.38,68.52,63.09,,35.11,49.58,0,38.16,9.85,0,0,23.72,23.37,18.43,,76.27,45.86,83.04,40.39,97.42,63.09,,,27.81,50.62,40.74,36.39,22.33,58.03,41.14,0,38.16
528,NLD,Netherlands,75.46,92.26,89.68,98.26,89.8,64.25,80.13,35.79,34.6,52.55,96.56,99.9,35.39,100,80.58,85.01,98.85,97.67,89.8,100,66.62,66.62,99.82,57.5,77.72,35.79,46.72,22.48,37.68,36.52,85.54,87.37,98.7,98.72,94.4,99.9,35.39
554,NZL,New Zealand,75.96,95.96,98.99,93.37,72.08,62.63,91.84,10.33,57.4,55.78,52.1,96.16,26.74,97.47,100,100,97.29,89.45,72.08,100,90.07,88.03,96.93,87.44,80.91,10.33,57.85,56.96,49.69,77.28,48.61,55,60.07,52.29,51.92,96.16,26.74
558,NIC,Nicaragua,55.04,62.2,72.09,41.96,54.99,50.27,85.68,5.73,67.97,58.63,30.65,0,16.44,30.24,100,100,40.51,43.42,54.99,91.16,94.6,95.79,96.85,100,0,5.73,61.41,74.52,64.03,61.05,48.12,44.48,51.14,31.91,29.4,0,16.44
562,NER,Niger,35.74,41.94,61.22,2.44,28.37,31.61,85.74,10.17,,6.36,31.11,0,19.51,3.16,100,99.85,2.19,2.68,28.37,,100,100,79.29,37.64,89.7,10.17,,,0,26.25,4.83,1.28,1.62,37.9,24.33,0,19.51
566,NGA,Nigeria,54.76,36.64,48.08,7.75,61.39,66.84,71.64,,69.17,73.85,84.51,30.76,32.93,13.76,67.96,73.96,8.74,6.76,61.39,53.05,78.55,72.6,88.44,47.5,83.63,,85.21,53.12,95.14,37.04,64.47,70.54,49.11,84.38,84.65,30.76,32.93
578,NOR,Norway,77.49,97.86,97.14,99.65,96.44,63.91,88.96,22.08,68.73,63.58,24.76,96.11,28.51,92.86,100,100,100,99.29,96.44,80.7,95.68,95.73,91.14,70.51,92.57,22.08,85.96,51.49,38.59,96.51,99.01,62.96,40.63,31.58,17.94,96.11,28.51
512,OMN,Oman,51.32,75.98,86.19,62.84,22.06,34.88,34.81,,50.41,32.71,0.65,68.37,18.7,70.42,98.67,94.73,68.14,57.54,22.06,67.63,15.13,13.87,25.36,4.7,99.39,,93.7,7.11,0,48.86,76.07,93.62,60.76,0.55,0.74,68.37,18.7
586,PAK,Pakistan,37.5,16.8,15.69,20.02,11.86,51.3,60.14,90.56,50.87,50.79,32.38,26.03,20.89,11.09,18.01,19.49,21.61,18.43,11.86,82.24,62.89,53.82,52.3,13.45,85.45,90.56,56.73,45.02,59.69,41.37,42.2,42.96,41.69,24.6,40.16,26.03,20.89
591,PAN,Panama,62.71,66.96,78.88,43.45,53.1,59.87,86,27.05,63.08,54.32,46.87,78.12,11.23,47.2,100,100,42.73,44.18,53.1,84.27,93.8,86.61,92.29,66.06,80,27.05,55.31,70.85,44.8,21.77,99.29,92.49,61.75,45.54,48.2,78.12,11.23
598,PNG,Papua New Guinea,39.35,47.26,60,18.48,54.26,34.09,34.04,25.66,27.35,55.36,22.16,0,29.02,0,100,100,17.96,19,54.26,70.51,14.22,13.16,15.43,19.25,94.54,25.66,37.33,17.38,57.58,,52.6,44.12,46.39,20.33,23.99,0,29.02
600,PRY,Paraguay,53.93,58.1,65.39,44.96,42.09,51.15,64.02,0,,54.05,53.42,46.8,75.77,29.62,89.66,88.81,45.55,44.38,42.09,,85.15,85.08,71.58,28.56,0,0,,,62.93,61.81,36.9,33.37,23.42,72.95,33.9,46.8,75.77
604,PER,Peru,61.92,56.49,58.21,50.38,70.87,65.53,83.52,25.55,85.72,58.04,57.76,88.49,29.7,34.33,74.87,73.39,46.13,54.63,70.87,76.49,90.29,90.11,82.45,82.17,74.39,25.55,97.65,73.79,53.43,51.04,75.12,70.38,51.57,62.83,52.7,88.49,29.7
608,PHL,Philippines,57.65,55.64,62.96,42.86,37.1,58.99,78.08,17.16,70.01,54.54,66.85,60.34,33.45,12.7,100,92.93,47.21,38.51,37.1,85.73,89.25,93.2,84.51,33.64,41.81,17.16,74.19,65.83,58.46,24.14,68.41,72.13,63.93,63.9,69.81,60.34,33.45
616,POL,Poland,64.11,58.71,53.04,69.23,69.29,67.72,96.37,14.26,42.66,64.33,72.3,92.35,43.37,55.34,46.57,56.44,72.23,66.24,69.29,100,100,100,99.99,71.28,92.42,14.26,34.07,51.26,69.2,38.61,84.34,74.68,28.19,95.38,49.21,92.35,43.37
620,PRT,Portugal,71.91,90.47,90.99,93.59,64.91,59.53,91.41,0,32.11,56.89,67.18,93.82,6.09,77.55,100,99.9,87.91,99.27,64.91,89.85,100,100,100,62,72.42,0,22.4,41.81,61.42,68.97,33.84,54.62,57.69,81.49,52.87,93.82,6.09
634,QAT,Qatar,67.8,74.18,76.29,72.9,54.44,63.54,43.71,,63.62,68.68,86.88,96.13,19.76,100,55.46,65.52,75.97,69.83,54.44,69.46,23.92,23.92,61.03,4.21,76.21,,70.67,56.57,58.05,49.02,100,98.08,98.96,97.71,76.04,96.13,19.76
178,COG,Republic of Congo,42.39,20.89,23.84,10.26,46.29,56.73,91,27.91,43.26,59.34,46.78,31.97,23.62,12.49,30.4,32.4,9.95,10.57,46.29,92.45,100,100,95.8,40.37,93.18,27.91,74.62,11.89,82.92,33.94,37.24,38.08,34.8,62.54,31.02,31.97,23.62
642,ROU,Romania,64.78,58.67,57.37,59.9,68.25,68.85,90.8,27.82,48.86,68.53,71.2,83.95,48.15,37.73,68.21,72.71,57.81,61.98,68.25,98.49,95.08,97.21,95.32,51.07,84.69,27.82,54.73,43,81.24,51.64,68.04,45.38,34.17,60.78,81.63,83.95,48.15
643,RUS,Russia,63.79,75.48,79.99,63.93,86.2,55.99,65.64,12.43,35.48,49.88,77.78,96.53,47.83,76.75,81.37,82.94,61.33,66.52,86.2,90.93,55.59,61.75,58.4,33.71,89.39,12.43,39.03,31.93,51.59,33.88,54.62,42.35,85.29,77.88,77.68,96.53,47.83
646,RWA,Rwanda,43.68,31.03,37.87,14.96,38.53,52.12,63.24,16.71,,69.91,68.44,0,32.14,9.39,48.88,64.83,14.05,15.87,38.53,,51.37,54.48,78.49,43.32,93.94,16.71,,,77.66,,58.49,47.44,29.67,69.15,67.74,0,32.14
662,LCA,Saint Lucia,56.18,71.03,84.2,47.79,39.36,46.28,62.71,43.36,47.63,40.29,29.76,64.44,0,60.49,100,100,49.29,46.28,39.36,72.77,61.46,36.02,,98.48,,43.36,58.27,36.99,39.34,,30.68,63.82,68.47,33.23,26.29,64.44,0
670,VCT,Saint Vincent and the Grenadines,66.48,67.38,79.96,47.25,24.52,65.88,85.1,100,79.13,55.95,32.99,64.44,3.22,49.91,100,100,47.65,46.85,24.52,72.24,80.73,94.88,,100,,100,58.27,100,52.5,,61.72,75.58,61.42,35.55,30.44,64.44,3.22
882,WSM,Samoa,54.5,61.94,67.42,49.92,62.76,49.55,49.04,,63.57,42.8,65.79,58.45,14.16,18.54,100,100,52.64,47.21,62.76,65.56,38.74,38.74,51.28,1.77,100,,62.89,64.25,42.52,,38.7,46.13,59.74,58.17,73.42,58.45,14.16
678,STP,SÃ£o TomÃ© and PrÃ­ncipe,54.01,52.73,64.07,29.32,45.76,54.87,75.47,,65.57,55.13,41.99,26.32,11.81,12.74,100,96.57,30.4,28.24,45.76,42.39,100,100,,43.55,,,91.72,39.41,52.28,,66.31,50.06,55.35,51.52,32.46,26.32,11.81
682,SAU,Saudi Arabia,57.47,72.81,79.91,62.38,43.17,47.25,48.33,,55.1,40.47,25.4,87.79,29.41,80.71,78.17,80.57,66.98,57.77,43.17,84.22,25.8,25.8,52.92,8.42,97.42,,70.79,39.4,14.36,35.63,90.09,96.76,66.21,14.73,36.06,87.79,29.41
686,SEN,Senegal,49.52,47.55,63.78,13.67,39.92,50.83,91.67,9.88,68.72,38.73,28.39,42.69,26.49,9.45,100,100,13.34,14.01,39.92,82.4,100,100,98.83,57.28,96.97,9.88,71.79,65.66,40.07,37.11,42.45,28.21,27.47,30.39,26.4,42.69,26.49
688,SRB,Serbia,57.49,61.18,56.67,69.73,68.53,55.03,49.84,38.66,,61.77,59.76,60.49,52.95,30.95,71.62,76.01,73.64,65.82,68.53,,43.12,43.12,46.76,46.17,86.51,38.66,,,69.65,36.42,77.01,50.28,34.84,66.42,53.1,60.49,52.95
690,SYC,Seychelles,66.02,77.72,88.03,58.28,60.41,58.22,63.49,,49.54,93.25,2.63,26.32,14.01,70.07,100,100,61.04,55.52,60.41,58.02,80.88,77.69,,11.2,,,38.32,60.75,99.99,,84.92,100,25.36,5.26,0,26.32,14.01
694,SLE,Sierra Leone,42.54,41.8,60.68,2.5,32.16,43.03,68.63,0,55.46,48.19,45.51,0,26.33,1.87,100,99.76,2.61,2.39,32.16,78.71,55.53,88.87,70.53,21.5,77.57,0,97.65,13.26,53.33,,40.8,35.5,18.48,50.96,40.05,0,26.33
702,SGP,Singapore,64.23,72.14,58.99,99,81.96,58.96,21.46,,74.01,67.64,97.76,100,4.59,100,32.16,31.15,100,98,81.96,18.5,26.56,26.56,,7.03,,,68.93,79.09,59.13,41.49,99.14,99.49,99.53,95.96,99.56,100,4.59
703,SVK,Slovakia,70.6,63.87,59.42,69.62,87.21,75.08,94.31,17.09,,74.21,79.51,89.95,61.53,63.46,50.78,62.69,74.12,65.12,87.21,,100,100,100,68.25,86.21,17.09,,,78.21,54.92,76.29,98.23,79.02,70.22,88.81,89.95,61.53
705,SVN,Slovenia,67.57,72.34,71.25,70.59,97,64.4,95.78,30.87,,51.16,49.85,88.5,34.85,63.65,73.59,79.02,74.59,66.59,97,,100,100,100,82.47,83.78,30.87,,,46.12,52.46,67.47,40.66,41.59,61.75,37.94,88.5,34.85
90,SLB,Solomon Islands,43.22,49.67,60.53,28.02,38.33,38.93,26.66,15.28,50.27,63.2,59.13,0,16.68,1.33,100,100,27.07,28.98,38.33,63.51,10.06,10.06,14.36,8.68,61.96,15.28,68.43,32.12,69.97,,43.28,70.97,40.27,53.11,65.16,0,16.68
710,ZAF,South Africa,44.73,36.81,41.14,24.71,53.22,50.01,64.24,0,59.24,44.63,34.67,87.8,47.76,32.9,43.56,49.69,24.48,24.93,53.22,100,41.34,51.64,63.1,35.28,95,0,62.82,55.66,46.34,26.06,59.48,52.6,34.42,31.66,37.68,87.8,47.76
410,KOR,South Korea,62.3,73.3,61.19,96.52,91.48,54.96,46.66,24.64,67.1,46.75,77.91,98.22,49.71,100,30.21,40.43,100,93.05,91.48,87.48,20.32,20.32,54.37,23.29,78.33,24.64,92.34,41.87,32.4,26.79,99.02,49.57,58.11,84.52,71.29,98.22,49.71
724,ESP,Spain,78.39,94.21,94.07,100,61.27,67.85,95.66,8.95,43.14,67.77,69.34,99.71,29.74,87.09,100,97.44,100,100,61.27,98.84,100,100,99.98,68.96,90,8.95,61.11,25.16,70.52,63.52,74.8,43.37,53.53,79.18,59.51,99.71,29.74
144,LKA,Sri Lanka,60.61,64.7,69.91,53.09,66.58,57.88,80.38,24.09,78.34,70.88,51.73,0,22.05,25.65,100,98.84,51.88,54.3,66.58,64.31,90.82,98.09,81.83,61.25,72.42,24.09,79.94,76.73,87.1,29.49,74.47,76.75,54.07,45.73,57.74,0,22.05
729,SDN,Sudan,51.49,50.09,64.56,24.46,15.78,52.43,40.13,74.65,78.4,72.11,48.28,0,12.62,11.49,100,99.87,23.17,25.74,15.78,100,11.68,12.88,22.05,13.11,95,74.65,56.8,100,75.99,90.82,53.04,53.55,53.25,50.83,45.72,0,12.62
740,SUR,Suriname,54.2,62.46,75.24,40.14,30.29,48.68,70.23,42.84,68.18,35.74,68.9,7.53,33.22,38.11,100,100,43.36,36.91,30.29,86.41,42.48,42.46,83.9,100,91.82,42.84,67.06,69.3,32.86,19.84,38.74,70.44,81.44,64.45,73.35,7.53,33.22
748,SWZ,Swaziland,40.32,32.54,42.3,9.36,44.73,45.51,34.9,6.05,,62.49,48.33,64.23,32.45,15.38,54.85,65.66,9.03,9.68,44.73,,23.75,20.66,31.63,51.18,75.9,6.05,,,67.09,,52.96,55.7,43.06,47.69,48.98,64.23,32.45
752,SWE,Sweden,80.51,94.41,92.84,96.88,100,71.24,81,5.53,53.76,86.8,64.17,98.49,55.12,82.42,100,99.57,95.62,98.14,100,98.67,70.9,77.5,98.58,49.34,69.39,5.53,49.6,57.91,82.47,95.16,99.21,50.29,83.53,64.13,64.2,98.49,55.12
756,CHE,Switzerland,87.42,93.57,91.06,99.99,87.77,83.32,84.2,47.4,,90.55,98.7,99.67,43.87,88.17,93.86,92.1,100,99.98,87.77,,63.66,80.35,99.99,100,85.6,47.4,,,85,94.36,99.07,89.15,98.22,98.7,98.7,99.67,43.87
158,TWN,Taiwan,72.84,69.85,69.04,69.71,81.17,74.83,83.03,51.05,65.71,82.23,89.75,71.26,32.51,65.32,67.35,75.7,74.41,65.01,81.17,82.23,100,99.99,82.7,31.09,69.39,51.05,82.03,49.4,87.88,43.81,100,97.73,92.72,79.72,99.79,71.26,32.51
762,TJK,Tajikistan,47.85,26.26,23.22,29.9,44.01,62.24,67.01,85.43,,60.73,49.45,58.85,33.47,17,26.88,27.86,26.96,32.84,44.01,,63.98,71.51,66.05,39.79,93.18,85.43,,,55.36,99.85,47.58,40.44,30.79,38.33,60.58,58.85,33.47
834,TZA,Tanzania,50.83,45,60.55,11.8,42.14,54.71,95.03,11.8,49.26,43.1,50.76,54.03,28.76,7.64,100,91.65,11.43,12.18,42.14,88.8,99.43,98.95,96.48,99.53,83.48,11.8,81.96,16.56,44.54,38.28,51.09,35.69,23.52,57.1,44.42,54.03,28.76
764,THA,Thailand,49.88,46.21,37.9,59.37,75.36,52.33,74.91,11.07,48.25,45.75,48.79,77.05,27.17,42.83,32.17,37.04,71.37,47.37,75.36,87.79,77.43,62,96.64,31.87,69.54,11.07,38.75,57.75,44.78,35.39,58.97,47.27,42.38,55.75,41.83,77.05,27.17
