"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AFG","Afghanistan",-0.0212181977931232,-0.0212189014665345,-0.0197856233716297,-0.0183521825116666,-0.0200860824542599,-0.0218201373236079,-0.0152652713687158,-0.00869368071252002,-0.00484101236388951,-0.00949086977340818,-0.07327650772752,-0.105649338823342,-0.111824660632898,-0.118237235318258,-0.119533671169282,-0.121692007399412,-0.130619960571401,-0.116574502876654,-0.114929460168678,-0.0981342104465124,-0.0987691719099249,-0.087120592293288,-0.0972772829489172,-0.103764271559575,-0.0967953058558733
"ALB","Albania",-0.0172482658864139,-0.0182226688950862,-0.0185101520955563,-0.0220004097822911,-0.0232854892409658,-0.0245225416972347,-0.0214795740133628,-0.0178448160985522,-0.0209179192399196,-0.0152086735678966,-0.0273384877033542,-0.042490788306107,-0.0325777489434229,-0.0242935536879481,-0.00709661509308901,-0.00936648296135911,-0.0125487620651646,-0.00497581413209347,0.00794811394549766,0.028040064535225,0.0330948260152505,0.0251566962352159,0.0232721926647834,0.0185535673542089,0.00764301925071542
"DZA","Algeria",-0.0711153233408539,-0.0714658139854991,-0.0735150712573556,-0.0765212582231885,-0.0747089751325478,-0.0733347642117505,-0.0691570341685825,-0.0655222983616795,-0.0644246419877888,-0.0598947890252692,-0.0613653610074088,-0.0936232859131713,-0.0970012432346044,-0.0963388741150494,-0.102722138360117,-0.11502023995416,-0.122243697175504,-0.120633132911468,-0.108457211314623,-0.108559613907448,-0.0975257885988269,-0.086035247420392,-0.0635166663036215,-0.0626703751676897,-0.0639971244524397
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",-0.160653719125136,-0.162162205226142,-0.169851946421328,-0.177119761626803,-0.176891260950904,-0.176854489560504,-0.164986302742135,-0.154503364589924,-0.13966678531143,-0.139925208605791,-0.151028741754779,-0.174055025005053,-0.17373614665765,-0.169463929350905,-0.161843512828101,-0.176179556771185,-0.17874063722122,-0.168397262091143,-0.162139755850215,-0.158866766616969,-0.159828485980726,-0.130851136038205,-0.128096065988549,-0.11702579419051,-0.114487216573875
"ATG","Antigua and Barbuda",0.0656776418561521,0.0622624535736872,0.0606777797213544,0.059801390388554,0.0586604376226467,0.0557441067943803,0.0597045199202797,0.061946171500778,0.0601996155953821,0.0544519180471932,0.0611645517366524,0.014737941280656,0.00658612754217208,0.0137308207878467,0.0317070325894431,0.0508421992289893,0.045620945499585,0.0582100211978072,0.0560244601851325,0.0300275721128809,0.039222355251832,0.0276687602992817,0.00735635657081152,0.00955628461486147,0.00326295928753323
"ARG","Argentina",-0.00322930419985062,-0.00332181583190555,-0.0117018988555649,-0.0165126013410054,-0.0147286189935106,-0.0133478703453392,-0.0389408593591308,-0.0530864141066952,-0.0464098102260115,-0.0495749754639563,-0.0325807591198732,-0.0618296328781502,-0.0571687548610649,-0.0682663732596607,-0.0664669735025802,-0.0663859323290252,-0.0690787782331009,-0.0771691127002107,-0.089394350426985,-0.0931528135879532,-0.091187922693033,-0.0587168965625921,-0.068052257446426,-0.0659636595922113,-0.0688906757475997
"ARM","Armenia",0.0315597184006603,0.0268492434679179,0.0209918409511631,0.0313601055726828,0.0357857185805713,0.0360086576954917,0.0411519452428591,0.0557409693439582,0.067234335404426,0.0530321566401268,0.0696163716942432,0.0492409256092798,0.0522644765202627,0.0681961036219642,0.0630212262065745,0.0639489061209302,0.0616507198822204,0.0641783470873539,0.0775464840118336,0.0926295548907968,0.100733321588064,0.106508795304555,0.0978156882949116,0.103230221465325,0.107413290613937
"AUS","Australia",0.147880469491563,0.146658326989437,0.146207808532281,0.145608246757128,0.14748065832044,0.150613768522037,0.150886814063068,0.146972327583897,0.146888950565571,0.147126967109066,0.146186616401457,0.182634530714894,0.18012937108924,0.183941178426545,0.162350453801758,0.174158781246471,0.165292710449924,0.16474236212584,0.160800550561305,0.15882064524727,0.159329921282289,0.15482815356478,0.135061648623023,0.126303974192829,0.113025946907206
"AUT","Austria",0.153424865710465,0.15599943612415,0.154828144581252,0.151444229884419,0.151164530796594,0.146578410779344,0.153406930280821,0.152986959592952,0.145930254558489,0.14296580138476,0.146491071586841,0.165102947443127,0.168534799694046,0.157119198674685,0.142754995827852,0.144658885341288,0.133679172323612,0.128464267639585,0.137455179988178,0.14672515727146,0.139451989414147,0.111118255319242,0.105554485036158,0.0842681154167445,0.0728002828722744
"AZE","Azerbaijan",-0.0332259552534376,-0.0358692218835596,-0.0313783833446689,-0.0269307722037312,-0.0271691140093743,-0.0284586756785266,-0.0264581518446739,0.0102199191163685,0.0147503649494354,0.0151468036501708,0.0142215910924587,-0.0428940010278419,-0.0512416322438358,-0.0593648204412784,-0.0283765964328042,-0.0411401103895003,-0.0366825708636807,-0.0469746228912988,-0.0321419516770048,-0.00758735297292695,0.0150522529336302,0.0371772792014081,0.0279677420357574,0.0260404953184773,0.0429008749922005
"BHS","Bahamas",0.0145011642086698,0.0100452634642382,0.0113354737497495,0.0105189910683439,0.00544634592075821,0.00370713335654654,0.0028015845870214,0.00487992516242092,0.00359041400803106,0.00351526827087989,0.016923910897203,0.0753672812439851,0.0766420572715087,-0.0292056990628239,-0.0309240161389324,-0.0346658057395628,-0.0360579649274762,-0.0341751282167697,-0.0413886184969106,-0.0417623796251604,-0.0472855442561452,-0.057665472183958,-0.0739241758243012,-0.0849495536160133,-0.0893422388817748
