"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"AFG","Afghanistan",0.516520178840776,0.516520178840776,0.516520178840776,0.516520178840776,0.516520178840776,0.516520178840776,0.516520178840776,0.516520178840776,0.250131371501855,0.373752483661724,0.590900834614373,0.695383076407071,0.608430949429738,0.694898984315079,0.820062171775876,0.584061492065038,0.795058545304277,0.796310670625379,0.861961097787203,0.826848499151525,0.618541571618414,0.712659380053488,0.73042393639643,0.618521054444551,0.618521054444551
"ALB","Albania",0.0509534489603396,0.0509534489603396,0.0509534489603396,0.0509534489603396,0.0509534489603396,0.0509534489603396,0.13724136637841,0.105909830887354,0.307666065238907,0.214102527409473,0.203057796470685,0.228062624635602,0.205372245012991,0.102623225614955,0.0778496472500727,0.0945204591945109,0.041584670984898,0.0388348453804057,0.0467759090142813,0.0271110170493032,0.0349341782076099,0.0450671895036832,0.0774430239445254,0.0507161019301397,0.0507161019301397
"DZA","Algeria",0.00196284097594205,0.00196284097594205,0.00196284097594205,0.00196284097594205,0.00196284097594205,0.00196284097594205,0.00174069470800911,0.0016739215562698,0.00188916006223824,0.00176038931433314,0.00298383271711384,0.00196579537375492,0.00249488458054441,0.00138084077983096,0.00118991220998436,0.00106038396275462,0.000460068004671123,0.00120340878682931,0.000738292541872463,0.00131906057920125,0.00101622220346778,0.000920080344049273,0.00108780400906292,0.00101376427988954,0.00101376427988954
"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO","Angola",0.0193193872705311,0.0193193872705311,0.0193193872705311,0.0193193872705311,0.0193193872705311,0.0193193872705311,0.0538072776424155,0.0480460003086904,0.0390870738496717,0.0725660277774814,0.114257826994823,0.220271328848588,0.10146274642863,0.0936081144456007,0.143956618953969,0.122104298370679,0.107615559516806,0.0818216336989063,0.0965100932299816,0.119234557313267,0.100435324217769,0.136968355949023,0.117152461345583,0.124975788371418,0.124975788371418
"ATG","Antigua and Barbuda",0.0131185410523891,0.0131185410523891,0.0131185410523891,0.0131185410523891,0.0131185410523891,0.0131185410523891,0.00274689640650802,0.00515717538348577,0,0.00162071268240743,0.00583216294704127,0.00525216632536038,0.00536681877527671,0.00705737635569177,0.00103982428768843,0.00478762930034393,0.00200843874934086,0,0.00885100010663101,0,0,0.000509650736036499,0.00080990594128253,0.00337329117823263,0.00337329117823263
"ARG","Argentina",0.00115197368000519,0.00115197368000519,0.00115197368000519,0.00115197368000519,0.00115197368000519,0.00115197368000519,0.00755007625778423,0.0739951100560106,0.0129182791430484,0.236580470972723,0.0444974732837106,0.0122695584515562,0.00862891890691215,0.03481723294941,0.0108272774807229,0.011884805212161,0.0218247861974611,0.019595350217147,0.0167722468962081,0.0198738056900908,0.0106765189420934,0.0116055493625723,0.016316230422185,0.0113800368488819,0.0113800368488819
"ARM","Armenia",0.480652172842337,0.480652172842337,0.480652172842337,0.480652172842337,0.480652172842337,0.480652172842337,0.677433075653991,0.298295946406915,0.196669779842205,0.205202583217878,0.439124816422775,0.435275933393235,0.459524116394856,0.221489862798198,0.172608188783214,0.140248038414784,0.118478881026962,0.111352091179284,0.0779426474054899,0.057526694860122,0.0407297261798475,0.0703732481448239,0.0484111048280165,0.0457652691370183,0.0457652691370183
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE","Azerbaijan",0.0750491966944392,0.0750491966944392,0.0750491966944392,0.0750491966944392,0.0750491966944392,0.0750491966944392,0.0469271696688981,0.03131771244479,0.0996034346230476,0.0675598979097775,0.0336755291398415,0.0642198208578413,0.0646402762364588,0.0482121378889711,0.0453113160400036,0.0558071119667067,0.052079287409177,0.0680747074644519,0.0296076321434488,0.0384492191738146,0.0312655405250677,0.0191047701095897,0.0252354968644276,0.0251025918401688,0.0251025918401688
"BHS","Bahamas",0.0244802933569967,0.0244802933569967,0.0244802933569967,0.0244802933569967,0.0244802933569967,0.0244802933569967,0.0230440911866027,0.0222166649704737,0.0210962200371852,0.0205309088976944,0.0189678233337207,0.0257536421993952,0.0245030612140564,0.0230769811001793,0.0218298348138637,0.0217332923900059,0.0214753183598246,0.0215404817314698,0.0204343420262418,0.0207217110922813,0.0222324385586948,0.0205124204980904,0.0177424959616664,0.0198886623054452,0.0198886623054452
"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD","Bangladesh",0.299269564727066,0.299269564727066,0.299269564727066,0.299269564727066,0.299269564727066,0.299269564727066,0.376644983925509,0.382050989186455,0.369246152149317,0.382509291322541,0.360736053819191,0.310972712273478,0.308088103317206,0.320164219610044,0.360711626910731,0.345491566464579,0.331887776760902,0.352057584903079,0.351018164564882,0.322660220505383,0.301883862644543,0.294026764839482,0.253899477045071,0.245192097155479,0.245192097155479
"BRB","Barbados",0,0,0,0,0,0,0,0.0781540969103677,0.068888245566101,0.0457990489430488,0.0444666256845992,0.0573725915143952,0.0738869775915922,0.116624312807022,0.12976598053194,0.0862806357959627,0.113122034613698,0.0139506491709974,0.0672615236648703,0.0842590423599885,0.0645980040881983,0.0646281163788789,0.0755970281797027,0.0446779093219486,0.0446779093219486
"BLR","Belarus",0.0034331291114778,0.0034331291114778,0.0034331291114778,0.0034331291114778,0.0034331291114778,0.0034331291114778,0.00624219763236741,0.00544810514769141,0.00422307415571044,0.00341843648306762,0.00275998376822624,0.00656456060961124,0.00525520121217795,0.00780971799005362,0.00991167217488845,0.0170850666607586,0.0109834163708117,0.0205630296523242,0.0153244870313022,0.0112279600207127,0.014699355636058,0.0157631291638145,0.014173066995292,0.0108848643546542,0.0108848643546542
"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ","Belize",0.250644732630562,0.250644732630562,0.250644732630562,0.250644732630562,0.250644732630562,0.250644732630562,0.251891854469282,0.241423346195758,0.292269671437056,0.281302723342277,0.268219594443023,0.264768662969066,0.342415953715091,0.203934316842398,0.205566279931856,0.105161588174363,0.15317077792749,0.0999059472815938,0.0863659507558979,0.354051738358552,0.111336326617867,0.0623809765786982,0.0604219076785888,0.093761061232031,0.093761061232031
"BEN","Benin",0.628254116628481,0.628254116628481,0.628254116628481,0.628254116628481,0.628254116628481,0.628254116628481,0.639238156224904,0.691659054014721,0.749510778896631,0.757401880673362,0.760795259876138,0.750577316507077,0.938849304252197,0.974672976229835,0.826339729281138,0.96787323351858,0.971829832275075,1,0.956649371667004,1,1,1,0.730786862070877,1,1
"BTN","Bhutan",0.305407949596973,0.305407949596973,0.305407949596973,0.305407949596973,0.305407949596973,0.305407949596973,0.707878935337106,0.334411827322146,0.431709484776736,0.653347631264727,0.71524225641755,1,0.786921810267147,0.564213216434112,0.342710332846877,0.414303943997526,0.367061102093929,0.327571731786888,0.364477400905628,0.325389551503023,0.190855061570525,0.179073055485929,0.420053111121095,0.227618204220009,0.227618204220009
"BOL","Bolivia, Plurinational State of",0.235356502886944,0.235356502886944,0.235356502886944,0.235356502886944,0.235356502886944,0.235356502886944,0.240744304468737,0.262120558541262,0.335738704361608,0.346431449736603,0.286339777160812,0.216198693156072,0.172196911407834,0.223173513744999,0.150472097443735,0.135043618618355,0.175070579877336,0.166331850648763,0.132717279518129,0.100337383015367,0.115610359340359,0.121809542745932,0.0866524837141923,0.0703991723744419,0.0703991723744419
"BIH","Bosnia and Herzegovina",0.267399891410178,0.267399891410178,0.267399891410178,0.267399891410178,0.267399891410178,0.267399891410178,0.0577127357915755,0.0697996127873326,0.0501089782571723,0.0128059277759862,0.00834559911481954,0.0165487048586655,0.0154490151812023,0.0149938178896663,0.0353349882512099,0.0572041581168961,0.0717074425374938,0.0714495467396162,0.0529438585487435,0.0174456897478836,0.0637211745484387,0.00715111482847448,0.0145353927633716,0.0159648357379546,0.0159648357379546
"BWA","Botswana",0.621695271866555,0.621695271866555,0.621695271866555,0.621695271866555,0.621695271866555,0.621695271866555,0.542385601085747,0.514678505786846,0.492485956300086,0.440311085941121,0.449597610923858,0.402043387902641,0.564034838507247,0.47114799242679,0.276725567899717,0.191921760911214,0.181903806766782,0.173385028036003,0.332396439437988,0.299039803973618,0.264410364660156,0.21308665499467,0.361513377510476,0.240712291283525,0.240712291283525
"BRA","Brazil",0.0119677833581419,0.0119677833581419,0.0119677833581419,0.0119677833581419,0.0119677833581419,0.0119677833581419,0.0106657311587619,0.0118752638800519,0.0074061626696062,0.0199593628692738,0.00253650341384617,0.00399160620790556,0.00307316460494739,0.00201368294650252,0.00560734512116246,0.00925029853663335,0.0127534812909674,0.00468531235457383,0.00255545142823404,0.00519054898332429,0.00303193091529431,0.00278500907858615,0.00250470235853414,0.00327999125769052,0.00327999125769052
"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR","Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA","Burkina Faso",0.80102748314179,0.80102748314179,0.80102748314179,0.80102748314179,0.80102748314179,0.80102748314179,0.737020945734559,0.834770735880636,1,1,1,1,1,1,1,1,1,1,1,0.887796963642189,0.927910029706479,0.882996647544567,0.676899196975304,0.571101986754673,0.571101986754673
"BDI","Burundi",0.0266812290834253,0.0266812290834253,0.0266812290834253,0.0266812290834253,0.0266812290834253,0.0266812290834253,0.749404892602007,0.589075410184239,0.675770103235179,0.904892772952258,1,1,0.987694391877257,1,1,1,1,1,1,0.481566552759492,0.36005285111152,1,1,1,1
"KHM","Cambodia",0.0807152630579357,0.0807152630579357,0.0807152630579357,0.0807152630579357,0.0807152630579357,0.0807152630579357,0.269514278889538,0.298325341442774,0.402485082223345,0.607258740663503,0.542341159119411,0.742614978200014,1,0.610954928152665,0.61032829153781,0.522766135384887,0.418051460528562,0.729135296147605,0.704135113025716,0.854259601025143,0.76568410146708,0.712736140235797,0.769895946278283,0.772487574505197,0.772487574505197
"CMR","Cameroon",0.100530772517727,0.100530772517727,0.100530772517727,0.100530772517727,0.100530772517727,0.100530772517727,0.0846308184399008,0.130330625944616,0.0893885757882277,0.126305068421399,0.179341698822635,0.175434205129113,0.194658032016867,0.230734510555361,0.21582751773476,0.310680915559946,0.457296058882777,0.295605641669168,0.274968797205544,0.39822969248448,0.372427543624011,0.369157985471468,0.35833550122381,0.321478219537104,0.321478219537104
"CAN","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CPV","Cape Verde",0.0967574746814737,0.0967574746814737,0.0967574746814737,0.0967574746814737,0.0967574746814737,0.0967574746814737,0.106635377205486,0.107390524295391,0.0610671203282731,0.147787459658483,0.203811769323801,0.342526395160818,0.195596875325817,0.23205451894901,0.118837753290177,0.227264066515632,0.177460856208294,0.488917750089573,0.574469324379375,0.566545187131849,0.152665253945471,0.191097215373996,0.295690131804864,0.335520439995627,0.335520439995627
"CAF","Central African Republic",0.437163411460945,0.437163411460945,0.437163411460945,0.437163411460945,0.437163411460945,0.437163411460945,0.269194629595327,0.599628838871128,0.482365900348718,0.375990907330152,0.858857399264593,0.724037910178291,0.828777406489647,0.847032726861283,1,0.847980035055933,1,1,1,1,1,1,1,1,1
"TCD","Chad",0.129439919573882,0.129439919573882,0.129439919573882,0.129439919573882,0.129439919573882,0.129439919573882,0.133576268331491,0.115996779529609,0.633367356675021,0.392384395913348,0.37808936889397,0.41833525874128,0.236903993894315,0.220843551887328,0.306215869641317,0.223725829295282,0.467579069337571,0.398056802478491,0.311409277488776,0.39500464813659,0.63977698497738,0.83914019019879,0.791922851273946,0.588217811122617,0.588217811122617
"CHL","Chile",0,0,0,0,0,0,0,0,0,0,0,0.000752753858423327,3.91943841226682e-05,0.000448306830946305,0.000498303666957381,0.000384411349183608,7.63141077315502e-05,5.74179974682033e-05,0.00010129390795329,9.1246698688465e-05,5.33830159613326e-05,0,0,0,0
"CHN","China",0.000958065512517151,0.000958065512517151,0.000958065512517151,0.000958065512517151,0.000958065512517151,0.000958065512517151,0.00832506652016615,0.00547196449583364,0.00480170171207767,0.00464296761576236,0.00790227959323016,0.00545103359344202,0.00679686880244654,0.00585476230375471,0.0039701423479454,0.00457883254756977,0.00283984691450168,0.00211693379039729,0.00208546108509044,0.00113534781101473,0.000323453716092627,6.07515210602424e-05,1.66119526672222e-05,2.43727476348555e-05,2.43727476348555e-05
"COL","Colombia",0.00065572173043409,0.00065572173043409,0.00065572173043409,0.00065572173043409,0.00065572173043409,0.00065572173043409,0.00176343774135712,0.0335840488725927,0.0699321499693176,0.0468474682528657,0.0357219485442481,0.0267670954306544,0.0175786459240333,0.00227551781609169,0.00182745282827634,0.00235938472617591,0.00575965852682679,0.0197926020633819,0,0,0,0,0,0,0
"COM","Comoros",0.153552965297773,0.153552965297773,0.153552965297773,0.153552965297773,0.153552965297773,0.153552965297773,0.160421935699294,0.16568670570011,0.162384362946707,0.16650710793417,0.191409690615517,0.186883649075996,0.201985609585235,0.260115662060362,0.272340187666019,0.394899084550218,0.37070502814756,0.35545659532725,0.374803489903197,0.372846676575803,0.37070423905442,0.417297129236093,0.486121953603772,0.544193915960629,0.544193915960629
"COG","Congo",0.433326616074551,0.433326616074551,0.433326616074551,0.433326616074551,0.433326616074551,0.433326616074551,0.328937419571292,0.437319299481099,0.419245011669016,0.76113673523083,0.801709932487421,0.649556605161013,0.691791052973502,0.432271807667897,0.720905946474823,0.44137253017726,0.788457733800968,0.991434125046315,0.746369202022736,0.683526408119923,0.711401013073353,0.215436685694926,0.284429683187247,0.298995218330647,0.298995218330647
"COD","Congo, the Democratic Republic o",1,1,1,1,1,1,0.583306945633734,0.618256338896051,0.759369168102638,0.704640009268723,0.745346496693221,0.777538258798174,0.921762821135402,1,1,1,1,1,1,1,1,1,1,1,1
"CRI","Costa Rica",0.041814579552266,0.041814579552266,0.041814579552266,0.041814579552266,0.041814579552266,0.041814579552266,0.04739816499625,0.0145644884102218,0.0126167361137271,0.008702940582477,0.00665720157344194,0.00335669502247288,0.0035620269868763,0.00527271772585599,0.0106785477163521,0.00792360128102313,0.00486233776526668,0.00238692813880917,0.0014677030844641,0.000906602196929706,0.000239513463223743,0.00106672905391988,0.00201372131042065,0.00023363250024449,0.00023363250024449
"CIV","Cote d'Ivoire",0.406518010884479,0.406518010884479,0.406518010884479,0.406518010884479,0.406518010884479,0.406518010884479,0.453833559935269,0.51551702218425,0.442391003063925,0.460149856347155,0.328531307408536,0.329554227876886,0.321843476759869,0.434855078578529,0.387736595572252,0.397485942487195,0.458524725796293,0.588716824898177,0.327598956628554,0.506692995673233,0.495252375803637,0.56341860377984,0.492055022306183,0.463420454462773,0.463420454462773
"HRV","Croatia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000169429731019907,0,0.000156820037694092,5.05267846448546e-05,0.000166649475306001,0.000166649475306001
"CUB","Cuba",0.00277345401689207,0.00277345401689207,0.00277345401689207,0.00277345401689207,0.00277345401689207,0.00277345401689207,0.00288403725866869,0.00441021899010224,0.00537753622475828,0.0134708624885242,0.0109541281521372,0.00524663477492958,0.00414170466147313,0.00726033916009223,0.00370782228762694,0.00148125081319988,0.00739070690011871,0.0062218139799844,0.00455104465898764,0.0041462782423012,0.00179272972120006,0.0040286172337464,0.00282847088442554,0.00326248828421888,0.00326248828421888
"CYP","Cyprus",0.020063751466623,0.020063751466623,0.020063751466623,0.020063751466623,0.020063751466623,0.020063751466623,0.0185098555655088,0.022556683624628,0.0218213157673377,0.0205879835004837,0.0200729588069742,0.0223732589619443,0.0232523549818084,0.0174358155523672,0.0208706338045933,0.0340254362819523,0.0359734620153929,0.0355703760887673,0.0423545291329379,0.0412274306926717,0.0430560878470838,0.00766615343830721,0.0153012448909017,0.0141393586514619,0.0141393586514619
"CZE","Czech Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK","Denmark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DJI","Djibouti",0,0,0,0,0,0,0,0.782444533028737,0.931004402035816,0.55892952549932,0.541587508974548,0.462022090023044,0.484378024290901,0.394416284043471,0.379403835205917,0.367958085854797,0.424373998223363,0.695285439859312,0.492364897075842,0.623649933429481,0.872328257615832,1,0.972525481441362,0.746007209118064,0.746007209118064
"DMA","Dominica",0.109852252295516,0.109852252295516,0.109852252295516,0.109852252295516,0.109852252295516,0.109852252295516,0.0879622782788146,0.202871814213459,0.122929238454467,0.159798491188097,0.103996266483666,0.09661744976535,0.120849814796963,0.0980889787103555,0.110219544686526,0.102002265355515,0.116708632561787,0.130227537583198,0.0854366762355869,0.0830853539500879,0.0734361229451418,0.0701608436792781,0.06107844144529,0.071233147160949,0.071233147160949
"DOM","Dominican Republic",0.0692125489301451,0.0692125489301451,0.0692125489301451,0.0692125489301451,0.0692125489301451,0.0692125489301451,0.109079475104646,0.199741482857095,0.120609866918784,0.0820444806725204,0.0638835189903435,0.0420907373274072,0.0633761794923159,0.0645449088016229,0.0328674116341542,0.0223209144045904,0.017502367547402,0.0464292409904346,0.0194014766524087,0.23940842432037,0.278891158797925,0.0232240160820492,0.0278085091881274,0.0356831739065238,0.0356831739065238
