iso3c,n,missing,location,actual,actual_number
VEN,57,0.0175438596491228,Venezuela (Bolivarian Republic of),0.982456140350877,56
VNM,57,0.0175438596491228,Viet Nam,0.982456140350877,56
ZMB,57,0.0175438596491228,Zambia,0.982456140350877,56
ZWE,57,0.0175438596491228,Zimbabwe,0.982456140350877,56
BDI,57,0.0350877192982456,Burundi,0.964912280701754,55
BWA,57,0.0350877192982456,Botswana,0.964912280701754,55
CAN,57,0.0350877192982456,Canada,0.964912280701754,55
COG,57,0.0350877192982456,Congo (the),0.964912280701754,55
DJI,57,0.0350877192982456,Djibouti,0.964912280701754,55
FJI,57,0.0350877192982456,Fiji,0.964912280701754,55
FRA,57,0.0350877192982456,France,0.964912280701754,55
HRV,57,0.0350877192982456,Croatia,0.964912280701754,55
HTI,57,0.0350877192982456,Haiti,0.964912280701754,55
ISR,57,0.0350877192982456,Israel,0.964912280701754,55
LBN,57,0.0350877192982456,Lebanon,0.964912280701754,55
MAR,57,0.0350877192982456,Morocco,0.964912280701754,55
NGA,57,0.0350877192982456,Nigeria,0.964912280701754,55
NIC,57,0.0350877192982456,Nicaragua,0.964912280701754,55
NZL,57,0.0350877192982456,New Zealand,0.964912280701754,55
SGP,57,0.0350877192982456,Singapore,0.964912280701754,55
TCD,57,0.0350877192982456,Chad,0.964912280701754,55
TLS,57,0.0350877192982456,Timor-Leste,0.964912280701754,55
UZB,57,0.0350877192982456,Uzbekistan,0.964912280701754,55
YEM,57,0.0350877192982456,Yemen,0.964912280701754,55
CAF,57,0.0526315789473684,Central African Republic (the),0.947368421052632,54
CHN,57,0.0526315789473684,China,0.947368421052632,54
COM,57,0.0526315789473684,Comoros (the),0.947368421052632,54
GNB,57,0.0526315789473684,Guinea-Bissau,0.947368421052632,54
IRQ,57,0.0526315789473684,Iraq,0.947368421052632,54
ISL,57,0.0526315789473684,Iceland,0.947368421052632,54
KWT,57,0.0526315789473684,Kuwait,0.947368421052632,54
MDV,57,0.0526315789473684,Maldives,0.947368421052632,54
MLT,57,0.0526315789473684,Malta,0.947368421052632,54
MUS,57,0.0526315789473684,Mauritius,0.947368421052632,54
PNG,57,0.0526315789473684,Papua New Guinea,0.947368421052632,54
SAU,57,0.0526315789473684,Saudi Arabia,0.947368421052632,54
SLB,57,0.0526315789473684,Solomon Islands,0.947368421052632,54
STP,57,0.0526315789473684,Sao Tome and Principe,0.947368421052632,54
SUR,57,0.0526315789473684,Suriname,0.947368421052632,54
BTN,57,0.0701754385964912,Bhutan,0.929824561403509,53
GAB,57,0.0701754385964912,Gabon,0.929824561403509,53
TTO,57,0.0701754385964912,Trinidad and Tobago,0.929824561403509,53
ARE,57,0.087719298245614,United Arab Emirates (the),0.912280701754386,52
BRB,57,0.087719298245614,Barbados,0.912280701754386,52
SYC,57,0.087719298245614,Seychelles,0.912280701754386,52
VUT,57,0.087719298245614,Vanuatu,0.912280701754386,52
BHR,57,0.105263157894737,Bahrain,0.894736842105263,51
QAT,57,0.105263157894737,Qatar,0.894736842105263,51
CUB,57,0.12280701754386,Cuba,0.87719298245614,50
SSD,57,0.12280701754386,South Sudan,0.87719298245614,50
GNQ,57,0.140350877192982,Equatorial Guinea,0.859649122807018,49
ERI,57,0.157894736842105,Eritrea,0.842105263157895,48
TKM,57,0.157894736842105,Turkmenistan,0.842105263157895,48
LBY,57,0.192982456140351,Libya,0.807017543859649,46
SYR,57,0.192982456140351,Syrian Arab Republic (the),0.807017543859649,46
HKG,57,0.210526315789474,Hong Kong,0.789473684210526,45
SOM,57,0.210526315789474,Somalia,0.789473684210526,45
PSE,57,0.228070175438597,"Palestine, State of",0.771929824561403,44
BLZ,57,0.263157894736842,Belize,0.736842105263158,42
BRN,57,0.280701754385965,Brunei Darussalam,0.719298245614035,41
PRK,57,0.298245614035088,Korea (the Democratic People's Republic of),0.701754385964912,40
LCA,57,0.315789473684211,Saint Lucia,0.68421052631579,39
WSM,57,0.315789473684211,Samoa,0.68421052631579,39
TON,57,0.350877192982456,Tonga,0.649122807017544,37
BHS,57,0.368421052631579,Bahamas (the),0.631578947368421,36
VCT,57,0.385964912280702,Saint Vincent and the Grenadines,0.614035087719298,35
GRD,57,0.403508771929825,Grenada,0.596491228070176,34
KIR,57,0.403508771929825,Kiribati,0.596491228070176,34
XKX,57,0.403508771929825,Kosovo,0.596491228070176,34
TWN,57,0.421052631578947,Taiwan (Province of China),0.578947368421053,33
ATG,57,0.43859649122807,Antigua and Barbuda,0.56140350877193,32
FSM,57,0.43859649122807,Micronesia (Federated States of),0.56140350877193,32
DMA,57,0.456140350877193,Dominica,0.543859649122807,31
MHL,57,0.473684210526316,Marshall Islands (the),0.526315789473684,30
NRU,57,0.491228070175439,Nauru,0.508771929824562,29
KNA,57,0.508771929824562,Saint Kitts and Nevis,0.491228070175439,28
PLW,57,0.543859649122807,Palau,0.456140350877193,26
TUV,57,0.543859649122807,Tuvalu,0.456140350877193,26
MAC,57,0.56140350877193,Macao,0.43859649122807,25
SMR,57,0.596491228070175,San Marino,0.403508771929825,23
ABW,57,0.614035087719298,Aruba,0.385964912280702,22
ADO,57,0.614035087719298,Andorra,0.385964912280702,22
PRI,57,0.631578947368421,Puerto Rico,0.368421052631579,21
LIE,57,0.649122807017544,Liechtenstein,0.350877192982456,20
BMU,57,0.701754385964912,Bermuda,0.298245614035088,17
MCO,57,0.701754385964912,Monaco,0.298245614035088,17
VIR,57,0.701754385964912,Virgin Islands (U.S.),0.298245614035088,17
CYM,57,0.719298245614035,Cayman Islands (the),0.280701754385965,16
GUM,57,0.719298245614035,Guam,0.280701754385965,16
CUW,57,0.736842105263158,Curaçao,0.263157894736842,15
NCL,57,0.736842105263158,New Caledonia,0.263157894736842,15
PYF,57,0.736842105263158,French Polynesia,0.263157894736842,15
TCA,57,0.736842105263158,Turks and Caicos Islands (the),0.263157894736842,15
GRL,57,0.754385964912281,Greenland,0.245614035087719,14
ASM,57,0.771929824561403,American Samoa,0.228070175438597,13
SXM,57,0.771929824561403,Sint Maarten (Dutch part),0.228070175438597,13
FRO,57,0.807017543859649,Faroe Islands (the),0.192982456140351,11
CHI,57,0.824561403508772,Channel Islands,0.175438596491228,10
COK,57,0.824561403508772,Cook Islands (the),0.175438596491228,10
