iso3c,year,Economic.PC1,Economic.PC2,Environmental.PC1,Environmental.PC2,Political.PC1,Political.PC2,Security.PC1,Security.PC2,Societal.PC1,Societal.PC2,Aggregate.PC1,Aggregate.PC2
AFG,2014,-2.80661231174362,-1.53219927953563,-3.02972336992552,-0.231014190294997,-2.41726919416878,-1.18401987525638,-5.63440610308621,1.80072273597745,-2.31974377162465,-1.13436031481507,-3.58227599315921,-0.285755133752073
AGO,2014,-1.61720608840437,0.787125170489959,-1.46375202437309,0.123905525354056,-2.48975534550188,0.190758410690114,-0.551817847727045,-0.987591119447383,-2.07398919287325,-0.525509006870684,-1.86947200470952,0.194101678441422
ALB,2014,1.05057057377228,-2.50736605722975,0.894782032292726,-0.388047040948788,1.14136298793017,-1.47157521664147,1.00475988722304,-0.0285204163448267,2.13872337177465,0.225712016422866,0.980050328724676,0.455935878108825
ARE,2014,0.226910190058366,1.40463261156873,1.41146601796878,-1.72793405266837,0.603053028885679,1.0748228372893,1.73563357913964,1.31764626302979,0.163195181137009,0.558955353981272,1.23172286410618,-1.55255592333392
ARG,2014,0.379506834320443,-0.0016533053194917,1.63171173298828,-0.195135185291628,0.602319975167279,-1.16724488657644,1.049106713738,-0.773354760119347,0.887927355272607,-0.277389867686417,0.671367751462992,0.846796282479082
ARM,2014,0.216536542037043,-1.37615709838412,0.136556658652936,-0.114722147219336,-1.44277190561051,1.02958870055184,1.00822290810161,0.40824900519103,0.80257742453847,1.08376716127165,0.427482128303599,-1.16158842798223
AUS,2014,2.88323807631093,1.10602695953631,2.94555376796325,-0.601825070584204,4.41010899821876,1.29179596073459,2.06382075412318,0.447204229593099,2.39363755665055,-0.181653649545674,3.37350939177895,-0.135971459002423
AUT,2014,3.17614680358879,0.545881679878361,2.69386599509173,0.748612057222928,3.82173736881934,0.490916940570191,2.49198800343995,0.46163125832109,2.90603916044979,0.502579916143017,3.48875267381728,0.349393002239982
AZE,2014,-0.0412857050382671,-1.26436789156227,0.017924905539819,-1.85748872632329,-2.62657108807159,1.74371639148502,-0.269453402725297,-0.175504082018522,-2.36018384088277,0.827636229228316,-0.942976903610979,-2.37040458392275
BDI,2014,-2.88858931803297,2.14496539482318,-3.38992319799282,0.915985305590032,-2.65018095395917,0.362269767977234,-0.380761019107815,-0.469495589751373,-2.71697544654665,-0.322472693637672,-2.51552117799792,0.358651383116314
BEL,2014,3.39879325156823,-0.551007844917551,2.36679516680925,1.0231704062088,3.32344784168963,-0.732390150487425,1.47050256835121,0.875699038496263,3.11298906989474,0.881256136273712,3.09149188108967,0.447569511338364
BEN,2014,-1.09758887192364,0.89606409527735,-1.04624741498491,1.88657482277853,0.190484083918963,-0.269255552744855,-0.175340066355652,-0.600865362438898,0.9903012266013,-1.7857778678705,-0.425091061994519,2.18052140052374
BFA,2014,-2.90522083393892,2.04249679296425,-2.25779376772888,2.00623753952101,-1.15631187514644,-0.824547041728028,-0.297733222040276,-0.752598026361688,-0.0209624138038979,-2.08821825441853,-1.69625972652334,2.5865246279799
BGD,2014,-1.08586069681765,0.453155984066609,-1.77820662570019,-1.4276882349148,-2.37321928753444,0.339148520108166,-1.33481406104189,-1.31541644295403,-1.23552633331809,-0.123935938743562,-1.88113547451836,-0.564345030359473
BGR,2014,1.94995415886038,-0.588014105105802,0.923196805688272,1.45971447487711,0.822184973377773,-0.689488979009698,1.11931328828771,0.384112175515364,1.87100748533508,0.644458739835204,1.54068749751954,0.584753015722202
BHR,2014,1.12066467821486,0.793587963350175,1.61987437286341,-0.03804452927021,-0.673651324090755,-0.0939931677286736,0.962130840286035,1.47582731981122,-0.399916719546655,-0.00386682135530508,0.840719743760065,-0.577474080385578
BIH,2014,0.812120213972781,-3.03955065764006,0.68132529746473,0.312583161687188,0.511506502925967,-0.152487744474048,1.15900360562019,0.156666810283228,1.45034311160759,0.839339860065171,0.947530524031619,-0.22771679327101
BLR,2014,0.857030970959441,0.946043818212106,0.628774246786591,0.31453831735268,-2.54118251080881,1.59155257275962,0.756869571914573,0.349295393276865,0.25355871844586,2.35385439131719,0.679241257736931,-1.90583781522128
BOL,2014,-1.79609489181323,1.76760493868038,-0.212894179322583,-0.010276673800914,0.000878941629825283,-0.702439493940646,-0.344359990585764,-0.941776736421124,0.0868388286582695,-1.01896814826056,-0.759897574216686,1.24106038942672
BRA,2014,0.308776753390738,0.469605784927114,1.50886204180282,-0.12752098021966,1.10227506589907,-1.38808596454184,-0.891178046265028,-1.29050821903427,0.482512531924052,-0.903005986935168,0.111011358340146,1.33935555239404
BRB,2014,1.30746741908999,-0.6006707303691,2.09848648467767,0.927550227238836,2.3774363730134,0.857965582040702,2.02688417248068,0.0455705391696881,2.82603826528716,0.408120467027784,2.48235524797217,0.356087048253977
BTN,2014,-1.20384501690763,-0.132466107982791,0.0352060249543477,-0.0272388339508599,1.58207838116863,-0.637715168410619,0.801551745859038,-1.01426403781415,0.0677920982383541,-0.339020013299199,-0.0661544897606629,0.987086505009287
BWA,2014,-1.1795301580192,0.321216984216561,0.189629131109888,1.7280321046414,2.06128848079353,-0.589629276650082,1.04486719289457,-0.388178198892897,0.504251895533216,-1.61168439616046,0.308771662907424,2.23464003956889
CAF,2014,-4.06629538767914,-0.818511629271158,-4.73952636018851,4.15575900793017,-2.70685415431137,-0.699695693145939,-6.65595644076841,2.57815939412464,-2.95211299819428,-1.14932651666169,-4.14503641545176,1.12809441098467
