"ISO3","Name","Value","sign"
"NPL","Nepal",0.00190160899646093,0
"NLD","Netherlands",-0.00527564864753339,-1
"NZL","New Zealand",-0.0146665401171292,0
"NIC","Nicaragua",-0.00752441135858273,-1
"NER","Niger",0.0125612831887849,1
"NGA","Nigeria",0.00518993727080032,1
"NOR","Norway",-0.00525087491109093,-1
"OMN","Oman",3.45192288747695e-05,0
"PAK","Pakistan",0.000545297506799175,0
"PLW","Palau",0.00125770964831545,0
"PAN","Panama",-0.00394241174109382,-1
"PNG","Papua New Guinea",-0.00128641454165857,0
"PRY","Paraguay",0.00457959025323452,0
"PER","Peru",0.0015764069197094,0
"PHL","Philippines",-0.00305370483839717,0
"POL","Poland",-0.00423471463066786,-1
"PRT","Portugal",-0.00209256933863392,0
"QAT","Qatar",0.00124282531568709,0
"ROU","Romania",0.000996388157476078,0
"RUS","Russian Federation",0.0115475128727734,1
"RWA","Rwanda",0.00598507726770397,1
"KNA","Saint Kitts and Nevis",0.00529864476030638,0
"LCA","Saint Lucia",-0.00245268426797998,0
"VCT","Saint Vincent and the Grenadines",-0.00590354299201477,-1
"WSM","Samoa",0.00119755498740282,0
"SMR","San Marino",0.00622220213278215,0
"STP","Sao Tome and Principe",0.0016144991162588,1
"SAU","Saudi Arabia",0.00636777787386243,1
"SEN","Senegal",0.00633977805581824,1
"SRB","Serbia",0.00857205327960952,1
"SYC","Seychelles",0.00469264463621796,0
"SLE","Sierra Leone",0.00626150493507754,1
"SGP","Singapore",-0.00222276221197464,0
"SVK","Slovakia",0.000380062583343463,0
"SVN","Slovenia",-0.00527994968660052,-1
"SLB","Solomon Islands",0.00372005516658865,0
"SOM","Somalia",-0.0345992699453693,-1
"ZAF","South Africa",-0.00236639205063981,0
"ESP","Spain",0.000905537892187053,0
"LKA","Sri Lanka",0.00346553076400223,1
"SDN","Sudan",0.00456994171899906,1
"SUR","Suriname",0.0018761361539376,0
"SWZ","Swaziland",-0.000103483206748605,0
"SWE","Sweden",-0.00572173447121796,-1
"CHE","Switzerland",-0.00712569038835757,-1
"SYR","Syrian Arab Republic",-0.00587770493387135,-1
"TJK","Tajikistan",0.0110312290651881,1
"TZA","Tanzania, United Republic of",0.000215597750251903,0
"THA","Thailand",0.00332177667142802,0
"TLS","Timor-Leste",-0.0034067140487467,0
"TGO","Togo",0.00768133021170858,1
"TON","Tonga",9.07337113044829e-05,0
"TTO","Trinidad and Tobago",-0.00445986479913732,-1
"TUN","Tunisia",-0.00164873283280517,0
