iso3c,2021
SOM,-4.5578922073299
SSD,-4.53794959873893
AFG,-4.31642759667323
YEM,-4.26380002708154
CAF,-4.25242763733387
COD,-4.03536693013794
TCD,-3.71581436909044
SYR,-3.46324906338761
COG,-3.43341325031253
HTI,-3.3380239125017
BDI,-3.22180263177374
SDN,-3.15434808246825
ERI,-3.07082302466369
IRQ,-2.96964995788021
GNQ,-2.94061401086384
LBY,-2.66464329926754
AGO,-2.64538259205671
CMR,-2.64140326773798
NER,-2.60978021957146
MLI,-2.59334985483442
LBR,-2.59332935635713
MDG,-2.5631266137486
UGA,-2.52320441459151
MOZ,-2.43478675322831
GIN,-2.38871567412976
NGA,-2.37778549416449
PNG,-2.34047276477617
MMR,-2.2495422482133
GNB,-2.23349715003693
ZMB,-2.19909921779947
COM,-2.17406168409936
MRT,-2.10933306287946
TLS,-2.10272538928669
ZWE,-2.0859290629354
BFA,-2.07195243259316
ETH,-2.07122228129087
TJK,-2.05868226488874
BGD,-2.00877778510322
PAK,-1.98755065403111
SLE,-1.82879236525605
KHM,-1.78540035249082
CIV,-1.74068433472751
VEN,-1.70348732450927
SLB,-1.67481350172077
DJI,-1.67023183113519
SWZ,-1.60882163149424
TKM,-1.58056405803251
LAO,-1.57359076049753
GTM,-1.53720269805652
TZA,-1.53228549485621
KEN,-1.51258719885544
TGO,-1.51196868433142
NIC,-1.49480581961154
BEN,-1.42589050922985
PRK,-1.42467588768824
LSO,-1.39129431227264
GMB,-1.36959226646742
PSE,-1.36289863565906
HND,-1.32458735736835
IRN,-1.24663542594854
