"Homicide rate (per 100,000 people)"
"Dimension: Human security"
"SDG 16.1 Significantly reduce all forms of violence and related death rates everywhere"
"Definition: Number of unlawful deaths inflicted upon a person with the intent to cause death or serious injury, expressed per 100,000 people."
"Source: UNODC (United Nations Office on Drugs and Crime) (2020). DATAUNODC. https://dataunodc.un.org. Accessed 21 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2013-2018",""
"169"," Afghanistan","..","","..","","..","","..","","3.4","","4.1","","6.3","","..","","..","","9.8","","6.6","","6.7","","6.7","","6.7","a"
"69"," Albania","..","","8.3","","4.2","","5.0","","4.3","","4.8","","5.4","","4.3","","4.0","","2.2","","2.7","","2.0","","2.3","","2.3","a"
"91"," Algeria","..","","..","","..","","0.6","","0.7","","0.8","","1.4","","1.3","","1.5","","1.4","","..","","..","","..","","1.4","a"
"36"," Andorra","..","","..","","..","","..","","0.0","","1.2","","0.0","","0.0","","0.0","","0.0","","..","","..","","..","","0.0","a"
"148"," Angola","..","","..","","..","","..","","..","","4.4","","4.8","","..","","..","","..","","..","","..","","..","","..",""
"78"," Antigua and Barbuda","1.6","","10.2","","6.6","","3.7","","6.8","","..","","11.1","","..","","..","","..","","..","","..","","..","","..",""
"46"," Argentina","..","","..","","..","","5.7","","5.8","","6.1","","6.3","","7.3","","7.6","","6.6","","6.0","","5.2","","5.3","","5.3","a"
"81"," Armenia","5.0","","3.6","","3.0","","1.9","","1.9","","2.5","","2.3","","2.2","","2.5","","2.6","","3.0","","2.4","","1.7","","1.7","a"
"8"," Australia","2.2","","2.0","","1.9","","1.3","","1.0","","1.1","","1.1","","1.1","","1.0","","1.0","","0.9","","0.8","","0.9","","0.9","a"
"18"," Austria","1.2","","1.0","","1.0","","0.7","","0.7","","0.9","","0.9","","0.7","","0.5","","0.5","","0.7","","0.8","","1.0","","1.0","a"
"88"," Azerbaijan","4.5","","5.7","","2.8","","2.2","","2.3","","..","","2.2","","2.4","","2.5","","2.3","","2.1","","2.0","","2.2","","2.2","a"
"58"," Bahamas","17.6","","14.3","","24.8","","16.0","","26.5","","35.3","","30.5","","32.4","","33.5","","39.0","","29.4","","32.0","","..","","32.0","a"
"42"," Bahrain","..","","0.9","","..","","0.5","","0.9","","0.5","","0.3","","0.4","","0.5","","..","","..","","..","","..","","0.5","a"
"133"," Bangladesh","..","","..","","2.6","","2.6","","2.7","","2.7","","2.7","","2.9","","2.9","","2.6","","2.3","","2.2","","2.4","","2.4","a"
"58"," Barbados","13.0","","6.4","","7.4","","10.5","","11.0","","9.5","","7.8","","8.4","","8.8","","10.9","","7.7","","10.5","","9.8","","9.8","a"
"53"," Belarus","5.0","","9.5","","10.3","","8.6","","4.3","","4.0","","3.6","","3.5","","3.6","","3.5","","3.3","","2.5","","2.4","","2.4","a"
"14"," Belgium","1.0","","1.4","","2.1","","2.1","","1.7","","1.9","","1.8","","1.8","","1.9","","2.0","","1.5","","1.7","","..","","1.7","a"
"110"," Belize","..","","..","","16.6","","28.5","","40.0","","37.5","","42.9","","28.6","","34.8","","33.0","","37.5","","37.8","","..","","37.8","a"
"158"," Benin","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","1.1","","..","","1.1","a"
"129"," Bhutan","3.8","","3.0","","3.0","","1.7","","2.3","","4.6","","4.7","","3.4","","..","","1.6","","1.2","","1.7","","1.2","","1.2","a"
"107"," Bolivia (Plurinational State of)","..","","..","","..","","5.2","","12.7","","12.1","","11.8","","8.8","","8.8","","6.2","","6.2","","..","","..","","6.2","a"
"73"," Bosnia and Herzegovina","1.6","","..","","2.6","","1.9","","1.5","","1.4","","1.7","","1.3","","1.4","","1.7","","1.3","","1.3","","1.2","","1.2","a"
"100"," Botswana","..","","..","","..","","16.2","","15.2","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"84"," Brazil","19.7","","21.0","","23.8","","23.4","","22.1","","24.3","","26.6","","26.9","","28.9","","28.6","","29.9","","30.8","","27.4","","27.4","a"
"47"," Brunei Darussalam","..","","..","","1.2","","0.5","","0.3","","0.3","","1.0","","0.5","","..","","..","","..","","..","","..","","0.5","a"
"56"," Bulgaria","2.6","","5.9","","4.2","","2.6","","2.0","","1.7","","1.9","","1.5","","1.6","","1.8","","1.1","","1.4","","1.3","","1.3","a"
"182"," Burkina Faso","..","","..","","..","","0.5","","0.8","","0.6","","0.7","","0.7","","0.7","","0.6","","1.1","","1.3","","..","","1.3","a"
"185"," Burundi","..","","..","","..","","..","","4.0","","3.9","","5.4","","5.5","","5.7","","4.5","","6.1","","..","","..","","6.1","a"
"126"," Cabo Verde","..","","..","","..","","9.5","","7.9","","10.6","","11.1","","10.6","","12.5","","8.8","","11.7","","7.1","","6.8","","6.8","a"
"144"," Cambodia","..","","3.7","","4.7","","3.4","","2.3","","1.8","","..","","..","","..","","..","","..","","..","","..","","..",""
"153"," Cameroon","..","","..","","3.0","","..","","4.9","","4.0","","4.1","","..","","0.9","","1.2","","1.2","","1.4","","..","","1.4","a"
"16"," Canada","2.4","","2.0","","1.8","","2.1","","1.6","","1.8","","1.6","","1.4","","1.5","","1.7","","1.7","","1.8","","1.8","","1.8","a"
"188"," Central African Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","20.1","","..","","..","","20.1","a"
"43"," Chile","..","","..","","..","","3.6","","3.2","","3.7","","2.5","","3.2","","2.5","","3.4","","3.4","","4.2","","4.4","","4.4","a"
